Time 6.30, Process 1, PAUSED
Time 6.30, Process 1, RESUMED
Time 6.31, Process 1, PAUSED
Time 6.31, Process 1, RESUMED
Time 6.31, Process 1, PAUSED
Time 6.31, Process 1, RESUMED
Time 6.31, Process 1, PAUSED
Time 6.31, Process 1, RESUMED
Time 6.32, Process 1, PAUSED
Time 6.32, Process 1, RESUMED
Time 6.32, Process 1, PAUSED
Time 6.32, Process 1, RESUMED
Time 6.32, Process 1, PAUSED
Time 6.32, Process 1, RESUMED
Time 6.32, Process 1, PAUSED
Time 6.32, Process 1, RESUMED
Time 6.33, Process 1, PAUSED
Time 6.33, Process 1, RESUMED
Time 6.33, Process 1, PAUSED
Time 6.33, Process 1, RESUMED
Time 6.33, Process 1, PAUSED
Time 6.33, Process 1, RESUMED
Time 6.33, Process 1, PAUSED
Time 6.33, Process 1, RESUMED
Time 6.33, Process 1, PAUSED
Time 6.33, Process 1, RESUMED
Time 6.33, Process 1, PAUSED
Time 6.33, Process 1, RESUMED
Time 6.34, Process 1, PAUSED
Time 6.34, Process 1, RESUMED
Time 6.34, Process 1, PAUSED
Time 6.34, Process 1, FINISHED
Time 6.34, Process 0, RESUMED
Time 6.70, Process 0, PAUSED
Time 6.70, Process 0, RESUMED
Time 7.03, Process 0, PAUSED
Time 7.03, Process 0, RESUMED
Time 7.32, Process 0, PAUSED
Time 7.32, Process 0, RESUMED
Time 7.59, Process 0, PAUSED
Time 7.59, Process 0, RESUMED
Time 7.83, Process 0, PAUSED
Time 7.83, Process 0, RESUMED
Time 8.04, Process 0, PAUSED
Time 8.04, Process 0, RESUMED
Time 8.24, Process 0, PAUSED
Time 8.24, Process 0, RESUMED
Time 8.41, Process 0, PAUSED
Time 8.41, Process 0, RESUMED
Time 8.57, Process 0, PAUSED
Time 8.57, Process 0, RESUMED
Time 8.71, Process 0, PAUSED
Time 8.71, Process 0, RESUMED
Time 8.84, Process 0, PAUSED
Time 8.84, Process 0, RESUMED
Time 8.95, Process 0, PAUSED
Time 8.95, Process 0, RESUMED
Time 9.05, Process 0, PAUSED
Time 9.05, Process 0, RESUMED
Time 9.15, Process 0, PAUSED
Time 9.15, Process 0, RESUMED
Time 9.23, Process 0, PAUSED
Time 9.23, Process 0, RESUMED
Time 9.31, Process 0, PAUSED
Time 9.31, Process 0, RESUMED
Time 9.37, Process 0, PAUSED
Time 9.37, Process 0, RESUMED
Time 9.43, Process 0, PAUSED
Time 9.43, Process 0, RESUMED
Time 9.49, Process 0, PAUSED
Time 9.49, Process 0, RESUMED
Time 9.54, Process 0, PAUSED
Time 9.54, Process 0, RESUMED
Time 9.58, Process 0, PAUSED
Time 9.58, Process 0, RESUMED
Time 9.62, Process 0, PAUSED
Time 9.62, Process 0, RESUMED
Time 9.66, Process 0, PAUSED
Time 9.66, Process 0, RESUMED
Time 9.69, Process 0, PAUSED
Time 9.69, Process 0, RESUMED
Time 9.72, Process 0, PAUSED
Time 9.72, Process 0, RESUMED
Time 9.75, Process 0, PAUSED
Time 9.75, Process 0, RESUMED
Time 9.77, Process 0, PAUSED
Time 9.77, Process 0, RESUMED
Time 9.79, Process 0, PAUSED
Time 9.79, Process 0, RESUMED
Time 9.81, Process 0, PAUSED
Time 9.81, Process 0, RESUMED
Time 9.83, Process 0, PAUSED
Time 9.83, Process 0, RESUMED
Time 9.84, Process 0, PAUSED
Time 9.84, Process 0, RESUMED
Time 9.86, Process 0, PAUSED
Time 9.86, Process 0, RESUMED
Time 9.87, Process 0, PAUSED
Time 9.87, Process 0, RESUMED
Time 9.88, Process 0, PAUSED
Time 9.88, Process 0, RESUMED
Time 9.89, Process 0, PAUSED
Time 9.89, Process 0, RESUMED
Time 9.90, Process 0, PAUSED
Time 9.90, Process 0, RESUMED
Time 9.91, Process 0, PAUSED
Time 9.91, Process 0, RESUMED
Time 9.91, Process 0, PAUSED
Time 9.91, Process 0, RESUMED
Time 9.92, Process 0, PAUSED
Time 9.92, Process 0, RESUMED
Time 9.93, Process 0, PAUSED
Time 9.93, Process 0, RESUMED
Time 9.93, Process 0, PAUSED
Time 9.93, Process 0, RESUMED
Time 9.94, Process 0, PAUSED
Time 9.94, Process 0, RESUMED
Time 9.94, Process 0, PAUSED
Time 9.94, Process 0, RESUMED
Time 9.95, Process 0, PAUSED
Time 9.95, Process 0, RESUMED
Time 9.95, Process 0, PAUSED
Time 9.95, Process 0, RESUMED
Time 9.95, Process 0, PAUSED
Time 9.95, Process 0, RESUMED
Time 9.96, Process 0, PAUSED
Time 9.96, Process 0, RESUMED
Time 9.96, Process 0, PAUSED
Time 9.96, Process 0, RESUMED
Time 9.96, Process 0, PAUSED
Time 9.96, Process 0, RESUMED
Time 9.96, Process 0, PAUSED
Time 9.96, Process 0, RESUMED
Time 9.96, Process 0, PAUSED
Time 9.96, Process 0, RESUMED
Time 9.97, Process 0, PAUSED
